category,type,difficulty,question,correct_answer,incorrect_answers
Science &amp; Nature,multiple,medium,What is the standard SI unit for electric current?,Ampere,"[""Volt"", ""Ohm"", ""Watt""]"
History,multiple,medium,What number does the Roman numeral &quot;D&quot; stand for?,500,"[""100"", ""1000"", ""50""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,Which of the following countries does &quot;JoJo&#039;s Bizarre Adventure: Stardust Crusaders&quot; not take place in?,Philippines,"[""India"", ""Pakistan"", ""Egypt""]"
Celebrities,boolean,easy,Tupac Shakur died due to complications from being stabbed in 1996.,False,"[""True""]"
Sports,multiple,medium,Who was the topscorer for England national football team?,Wayne Rooney,"[""David Beckham"", ""Steven Gerrard"", ""Michael Owen""]"
History,multiple,easy,What is the historical name of Sri Lanka?,Ceylon,"[""Myanmar"", ""Colombo"", ""Badulla""]"
Entertainment: Comics,multiple,medium,What&#039;s the weakness of american vampires (Scott Snyder&#039;s American Vampire)?,Gold,"[""Sunlight"", ""Wood"", ""Silver""]"
Vehicles,multiple,medium,Which of the following countries has officially banned the civilian use of dash cams in cars?,Austria,"[""United States"", ""Czechia"", ""South Korea""]"
General Knowledge,multiple,easy," Which chemical element, number 11 in the Periodic table, has the symbol Na?",Sodium,"[""Carbon"", ""Lead"", ""Nitrogen""]"
History,multiple,easy,Who led the Communist Revolution of Russia?,Vladimir Lenin,"[""Joseph Stalin"", ""Vladimir Putin"", ""Mikhail Gorbachev""]"
General Knowledge,multiple,hard,The words &quot;bungalow&quot; and &quot;shampoo&quot; originate from the languages of which country?,India,"[""Papua New Guinea"", ""Ethiopia"", ""China""]"
Science &amp; Nature,boolean,easy,"Celiac Disease is a disease that effects the heart, causing those effected to be unable to eat meat.",False,"[""True""]"
Entertainment: Video Games,multiple,easy,What company developed the Xbox line of video game consoles?,Microsoft,"[""Sony"", ""Toshiba"", ""IBM""]"
Entertainment: Music,multiple,medium,"What animal is featured on the cover of English electronic music group The Prodigy&#039;s album, &quot;The Fat of the Land&quot;?",Crab,"[""Fox"", ""Elephant"", ""Tiger""]"
Entertainment: Film,multiple,medium,"Which iconic character is featured in movies such as &quot;The Enforcer&quot;, &quot;Sudden Impact&quot;, and &quot;The Dead Pool&quot;?",Dirty Harry,"[""Indiana Jones"", ""James Bond"", ""Harry Potter""]"
Entertainment: Video Games,multiple,medium,"In the game &quot;Brawlhalla&quot;, what species is the character B&ouml;dvar is?",Half Human / Half Bear,"[""A Human"", ""Half Wolf / Half Bear"", ""Half Tiger /  Half Human""]"
Vehicles,multiple,medium,Complete the following analogy: Audi is to Volkswagen as Infiniti is to ?,Nissan,"[""Honda"", ""Hyundai"", ""Subaru""]"
History,multiple,medium,Where was Portuguese explorer Ferdinand Magellan killed in 1521?,The Phillipines,"[""Canary Islands"", ""Guam"", ""Argentina""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,Who voices &quot;Shou Suzuki&quot; in the English dub of &quot;Mob Psycho 100&quot;?,Casey Mongillo,"[""Ben Diskin"", ""Chris Niosi"", ""David Naughton""]"
History,multiple,medium,Who was the only US President to be elected four times?,Franklin Roosevelt,"[""Theodore Roosevelt"", ""George Washington"", ""Abraham Lincoln""]"
Entertainment: Music,multiple,easy,Which of the following songs did Elton John perform following Princess Diane&#039;s passing?,Candles in the Wind,"[""I Guess That&#039;s Why They Call It The Blues"", ""Your Song"", ""Island Girl""]"
Science: Computers,multiple,easy,What amount of bits commonly equals one byte?,8,"[""1"", ""2"", ""64""]"
Entertainment: Music,boolean,easy,Scatman John&#039;s real name was John Paul Larkin.,True,"[""False""]"
Entertainment: Video Games,multiple,easy,"In Counter-Strike: Global Offensive, what&#039;s the rarity of discontinued skins called?",Contraband,"[""Discontinued"", ""Diminished"", ""Limited""]"
Geography,multiple,hard,Where is Timbuktu located?,"Mali, Africa","[""Azerbaijan, Asia"", ""Bangladesh, Asia"", ""Mauritania, Africa""]"
Entertainment: Video Games,multiple,easy,Who is the main protagonist in Danganronpa 2: Goodbye Despair?,Hajime Hinata,"[""Nagito Komaeda"", ""Makoto Naegi"", ""Junko Enoshima""]"
History,multiple,medium,What disease crippled President Franklin D. Roosevelt and led him to help the nation find a cure? ,Polio,"[""Cancer"", ""Meningitis"", ""HIV""]"
Entertainment: Film,multiple,hard,"Which 1994 film did Roger Ebert famously despise, saying &quot;I hated hated hated hated hated this movie&quot;.",North,"[""3 Ninjas Kick Back"", ""The Santa Clause"", ""Richie Rich""]"
Entertainment: Video Games,multiple,easy,Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?,Ignis,"[""Ventus"", ""Terra"", ""Aqua""]"
Entertainment: Television,boolean,medium,An episode of &quot;The Simpsons&quot; is dedicated to Moe Szyslak&#039;s bar rag.,True,"[""False""]"
General Knowledge,multiple,hard,"Where in La Coru&ntilde;a (Spain) is the headquarters of &quot;Inditex&quot;, the biggest fashion group in the world?",Arteijo,"[""Sanjenjo"", ""Mug&iacute;a"", ""&Oacute;rdenes""]"
General Knowledge,boolean,medium,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,Which one of these games wasn&#039;t released in 2016?,Metal Gear Solid V,"[""Tom Clancy&#039;s The Division"", ""Killing Floor 2"", ""Hitman""]"
Entertainment: Video Games,multiple,hard,Which of these characters in &quot;Undertale&quot; can the player NOT go on a date with?,Toriel,"[""Papyrus"", ""Undyne"", ""Alphys""]"
Entertainment: Video Games,boolean,easy,Each piece in Tetris is called a tetris.,False,"[""True""]"
General Knowledge,multiple,easy,How many letters are there in the English alphabet?,26,"[""28"", ""23"", ""24""]"
Entertainment: Board Games,multiple,hard,The board game &quot;Monopoly&quot; is a variation of what board game?,The Landlord&#039;s Game,"[""Territorial Dispute"", ""Property Feud"", ""The Monopolist&#039;s Game""]"
Entertainment: Film,boolean,easy,Brandon Routh plays the titular character in the movie &quot;John Wick&quot;.,False,"[""True""]"
Vehicles,boolean,medium,The majority of Subaru vehicles are made in China.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,What is a Tetris piece called?,Tetromino,"[""Tetratile"", ""Tetris"", ""Tetripiece""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,What year did &quot;Attack on Titan&quot; Season 2 begin airing?,2017,"[""2018"", ""2019"", ""2020""]"
General Knowledge,multiple,easy,What is the French word for &quot;fish&quot;?,poisson,"[""fiche"", ""escargot"", ""mer""]"
History,multiple,hard,What was the aim of the &quot;Umbrella Revolution&quot; in Hong Kong in 2014?,Genuine universal suffrage,"[""Gaining Independence"", ""Go back under British Rule"", ""Lower taxes""]"
Entertainment: Film,multiple,easy,Which animated movie was first to feature a celebrity as a voice actor?,Aladdin,"[""Toy Story"", ""James and the Giant Peach"", ""The Hunchback of Notre Dame""]"
Geography,multiple,medium,Which of these country&#039;s capitals starts with the letter B?,Lebanon,"[""Jordan"", ""Kuwait"", ""Qatar""]"
Science: Computers,boolean,medium,FLAC stands for &quot;Free Lossless Audio Condenser&quot;&#039;,False,"[""True""]"
Animals,multiple,hard,How many known living species of hyenas are there?,4,"[""8"", ""2"", ""6""]"
Entertainment: Music,multiple,easy,Who is the lead singer of the band Coldplay?,Chris Martin,"[""Chris Isaak"", ""Chris Wallace"", ""Chris Connelly""]"
Politics,multiple,medium,What is the primary purpose of the Fourth Amendment to the US Constitution?,Preventing unreasonable searches and seizures,"[""Preventing cruel and unusual punishments"", ""Protecting against imprisonment without due process of law"", ""Protecting the right to keep and bear arms""]"
Entertainment: Television,multiple,easy,The HBO series &quot;Game of Thrones&quot; is based on which series of books?,A Song of Ice and Fire,"[""The Wheel of Time"", ""Harry Potter"", ""The Notebook""]"
Entertainment: Video Games,boolean,easy,"In Splatoon, the Squid Sisters are named Tako and Yaki.",False,"[""True""]"
Science &amp; Nature,multiple,hard,Which of these chemical compounds is NOT found in gastric acid?,Sulfuric acid,"[""Hydrochloric acid"", ""Potassium chloride"", ""Sodium chloride""]"
Art,multiple,easy,What is the world&#039;s oldest known piece of fiction?,Epic of Gilgamesh,"[""Papyrus of Ani"", ""Code of Hammurabi"", ""Rosetta Stone""]"
Entertainment: Video Games,multiple,easy,Valve Corporation is an American video game developer located in which city?,"Bellevue, Washington","[""Austin, Texas"", ""Seattle, Washington"", ""San Francisco, California""]"
Entertainment: Music,multiple,medium,Which one of these people has been in the band &#039;&#039;Metallica&#039;&#039; in the past?,Dave Mustaine,"[""Kurt Cobain"", ""Joey Belladonna"", ""Dave Lombardo""]"
Mythology,multiple,hard,"In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?",Nidhogg,"[""Bragi"", ""Odin"", ""Ymir""]"
Entertainment: Music,multiple,medium,"Which album by American rapper Kanye West contained songs such as &quot;Love Lockdown&quot;, &quot;Paranoid&quot; and &quot;Heartless&quot;?",808s &amp; Heartbreak,"[""Late Registration"", ""The Life of Pablo"", ""Graduation""]"
Science: Mathematics,boolean,medium,You can square root a negative number with an imaginary number &quot;i&quot;.,True,"[""False""]"
Entertainment: Video Games,multiple,medium,"In Night In The Woods, what is Mae Borowski mother&#039;s name?",Candy,"[""Jenny"", ""Margaret"", ""Kate""]"
Geography,multiple,medium,Which country claims ownership of the disputed state Kosovo?,Serbia,"[""Croatia"", ""Albania"", ""Macedonia""]"
Entertainment: Video Games,multiple,hard,&quot;Banjo-Kazooie&quot; originally started its development as a totally different game for the SNES under which codename?,Project Dream,"[""Project Ukulele"", ""Project Land"", ""Project BK""]"
General Knowledge,multiple,medium,"In the Morse code, which letter is indicated by 3 dots? ",S,"[""O"", ""A"", ""C""]"
Entertainment: Music,multiple,medium,"&#039;I&#039;m never gonna dance again, guilty feet have got no rhythm&#039; were lyrics from which Wham! hit single?",Careless Whisper,"[""Wake Me Up Before You Go-Go"", ""Last Christmas"", ""Everything She Wants""]"
Science: Computers,boolean,easy,Time on Computers is measured via the EPOX System.,False,"[""True""]"
Entertainment: Video Games,multiple,medium,When was the original Star Wars: Battlefront II released?,"October 31, 2005","[""December 18, 2004"", ""November 21, 2006"", ""September 9, 2007""]"
Entertainment: Video Games,multiple,medium,Which of these features was added in the 1994 game &quot;Heretic&quot; that the original &quot;DOOM&quot; could not add due to limitations?,Looking up and down,"[""Increased room sizes"", ""Unlimited weapons"", ""Highly-detailed textures""]"
History,multiple,medium,"Who famously coined the phrase &quot;I think, therefore I am&quot;?",Descartes,"[""Plato"", ""Aristotle"", ""Shakespeare""]"
Entertainment: Film,multiple,medium,Which director directed the movie &quot;Pan&#039;s Labyrinth&quot;?,Guillermo Del Toro,"[""Alfonso Cuar&oacute;n"", ""Alejandro Gonz&aacute;lez I&ntilde;&aacute;rritu"", "" Alejandro Jodorowsky""]"
Entertainment: Film,multiple,easy,The 1996 film &#039;Fargo&#039; is primarily set in which US state?,Minnesota,"[""North Dakota"", ""South Dakota"", ""Wisconsin""]"
Entertainment: Video Games,multiple,medium,"In the Half-Life universe, the Black Mesa Research Facility is located in which US state?",New Mexico,"[""Nevada"", ""Arizona"", ""Wyoming""]"
Entertainment: Television,multiple,hard,Who played the sun baby in the original run of Teletubbies?,Jessica Smith,"[""Pui Fan Lee"", ""Sue Monroe"", ""Lisa Brockwell""]"
Entertainment: Film,multiple,medium,What does TIE stand for in reference to the TIE Fighter in &quot;Star Wars&quot;?,Twin Ion Engine,"[""Twin Iron Engine"", ""Twin Intercepter Engine"", ""Twin Inception Engine""]"
Entertainment: Video Games,multiple,medium,What animal is featured in &quot;Bloons TD Battles&quot;?,Monkeys,"[""Alligators"", ""Pigeons"", ""Lizards""]"
General Knowledge,boolean,medium,An eggplant is a vegetable.,False,"[""True""]"
Entertainment: Video Games,multiple,hard,"In &quot;Call Of Duty: Zombies&quot;, &quot;Richtofen&quot; is in possession of two filled blood vials belonging to who?",Sal DeLuca and Finn O&#039;Leary,"[""Richtofen"", ""Al Arlington and Sal DeLuca"", ""Jessica Rose and Jack Vincent""]"
Entertainment: Film,multiple,hard,What did Alfred Hitchcock use as blood in the film &quot;Psycho&quot;? ,Chocolate syrup,"[""Ketchup"", ""Red food coloring"", ""Maple syrup""]"
Entertainment: Books,multiple,easy,Which famous spy novelist wrote the childrens&#039; story &quot;Chitty-Chitty-Bang-Bang&quot;?,Ian Fleming,"[""Joseph Conrad"", ""John Buchan"", ""Graham Greene""]"
Entertainment: Music,multiple,hard,What is the name of the song by Beyonc&eacute; and Alejandro Fern&aacute;ndez released in 2007?,Amor Gitano,"[""La ultima vez"", ""Rocket"", ""Hasta Dondes Estes""]"
Entertainment: Video Games,multiple,medium,"In &quot;Paper Mario: The Thousand Year Door&quot;, what is Hooktail&#039;s weakness?",The Sound of Crickets,"[""Attacks from Koopas"", ""The &quot;Ice Storm&quot; Item"", ""The Hammer""]"
History,boolean,easy,Adolf Hitler was tried at the Nuremberg trials.,False,"[""True""]"
Entertainment: Music,multiple,hard,The heavy metal band Black Sabbath hail from which English city?,Birmingham,"[""Manchester"", ""London"", ""Newcastle-Upon-Tyne""]"
Entertainment: Board Games,multiple,hard,"On a standard Monopoly board, how much do you have to pay for Tennessee Ave?",$180,"[""$200"", ""$160"", ""$220""]"
Entertainment: Music,multiple,medium,For which civil rights activist did Stevie Wonder write the song &#039;Happy Birthday&#039; in 1980?,Martin Luther King Jr,"[""Rosa Parks"", ""Nelson Mandella"", ""Booker T. Washington""]"
Geography,multiple,medium,What is the capital of Slovakia?,Bratislava,"[""Sofia"", ""Ljubljana"", ""Sarajevo""]"
Entertainment: Video Games,multiple,hard,How many trophies are there in &quot;Super Smash Bros. for Nintendo 3DS&quot;?,685,"[""1360"", ""716"", ""1155""]"
Entertainment: Film,boolean,easy,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",True,"[""False""]"
Sports,boolean,easy,"In Rugby League, performing a &quot;40-20&quot; is punished by a free kick for the opposing team.",False,"[""True""]"
Science &amp; Nature,multiple,medium,What is the medical term for low blood sugar?,Hypoglycemia,"[""Hypothyroidism"", ""Hypothermia"", ""Hypoxia""]"
Science: Computers,multiple,hard,Which RAID array type is associated with data mirroring?,RAID 1,"[""RAID 0"", ""RAID 10"", ""RAID 5""]"
Entertainment: Musicals &amp; Theatres,multiple,hard,"In Les Mis&eacute;rables, who is Prison Code 24601?",Jean Valjean,"[""Marius Pontmercy"", ""Javert"", ""Jean Claude Van Damme""]"
